unit_id,species,population
407,sp_01,1
693,sp_01,1
401,sp_01,1
239,sp_02,1
458,sp_02,2
401,sp_03,1
406,sp_03,2
234,sp_03,3
541,sp_04,1
217,sp_04,2
693,sp_04,3
548,sp_04,3
401,sp_04,3
399,sp_04,4
400,sp_04,4
406,sp_04,4
