"solution","units","total_area_kmsq","good_hab_mean_pct","area_unfenced_mean_pct","area_fenced_mean_pct","cons_lands_mean_pct","FB_richness_max_mean","accessibility_max_mean"
836,"[217,104,406,679,693,660,326,554,425,258,680,325,398,253,220,239,458,234,560,329,43,107,50,542,236,51,227,427,303,547,685,459,347,327,432,342,688,224,400,34,106,350,407,401,328,687]",79.39353099394,16.5477568570017,84.5722770763588,15.2712254821353,25.3402955275365,2.21052631578947,4.57142857142857
837,"[401,541,217,660,104,400,236,399,259,239,456,327,404,350,106,680,407,459,328,687,258,240,432,325,398,31,107,329,246,62,458,693,555,679,103,425,349,225,32,427,43,60,560,234,554,253]",82.17093956878,25.6657359741358,80.9089292352724,18.926355001461,37.2943060554086,2,4.21428571428571
838,"[217,541,400,406,104,259,693,325,246,240,253,425,239,105,691,687,456,327,459,341,350,103,247,234,7,560,32,543,326,427,660,107,342,258,458,71,106,555,236,329,224,680,401,227,347,220,43,554,328,679]",94.35855445974,21.0599048760441,85.8305721774366,14.0159557501257,35.7721996709525,2.25,4.5531914893617
839,"[541,407,401,693,217,259,234,247,679,406,428,328,104,350,255,660,379,425,691,459,325,239,245,398,688,326,342,329,32,554,456,553,54,220,31,687,50,236,71,106,225,680,458,360,107,427,253]",83.35213268879,26.038908146101,78.477614363802,21.364247637948,35.6718314842799,2,4.42857142857143
840,"[259,679,541,406,400,217,407,247,239,328,693,398,220,224,240,399,234,329,404,51,31,241,43,687,225,427,660,456,460,71,325,62,402,34,379,107,347,104,425,459,227,554,253,236,553,680,106,458]",84.31650746093,29.7007751600737,77.4848174839942,22.3492390954301,38.8462356340866,2.36,4.25581395348837
841,"[693,217,541,259,407,104,398,687,341,255,350,685,401,106,103,553,325,404,253,406,234,400,460,425,236,220,32,107,402,246,427,50,258,225,459,221,379,62,680,240,560,51,329,555,239,458,328,679]",89.2112988866,23.6847101605084,83.3240142660038,16.5087171040578,35.2341775231008,1.85185185185185,4.45454545454545
842,"[693,407,400,401,679,253,427,104,234,404,217,106,62,32,548,350,51,225,456,555,255,680,342,258,554,541,543,54,43,398,458,260,688,259,60,329,107,241,239,687,326,360,325,240,425,459,328,236]",80.81238283692,24.3964345022587,78.7245516769661,21.109130075041,35.88918417779,2.21739130434783,4.39024390243902
843,"[406,401,217,693,541,399,326,398,349,104,553,253,105,220,456,379,685,259,341,328,236,360,400,247,329,350,107,425,62,239,687,71,106,43,221,460,688,246,50,255,54,679,427,458,240,432,459,234,325,680]",85.74743845167,22.9720501382885,81.7081027852575,18.1293158610053,40.5371194572008,2.17391304347826,4.3953488372093
844,"[401,406,541,217,407,554,247,253,240,326,104,246,259,349,693,404,329,660,687,50,258,459,428,425,432,327,658,31,458,379,51,239,680,456,54,360,234,71,220,260,107,325,427,328,106,679,236]",80.81073383863,24.8571946745759,81.0335794228147,18.8054445023123,38.109562422756,2.21052631578947,4.46341463414634
845,"[400,401,679,406,541,104,555,303,399,328,217,220,458,106,428,239,350,246,680,364,259,240,427,50,398,456,432,660,327,225,51,425,360,687,31,227,236,71,347,326,325,379,234,253,107,554,329,459]",81.37046883049,25.2557281588411,78.6809142591734,21.1572165578804,34.8616077464719,2.31818181818182,4.42857142857143
846,"[401,407,400,541,104,239,247,554,458,217,399,255,553,350,349,560,398,364,54,51,71,303,220,32,548,555,107,688,234,459,241,693,432,106,260,360,427,402,460,425,543,379,687,342,680,236,259,679,253,328,325,329]",90.29956060169,23.5460796942681,83.6708545424962,16.1628937094213,36.7345770322267,2.125,4.23913043478261
847,"[679,693,401,104,541,253,239,400,425,680,106,398,459,688,660,399,225,456,687,379,328,407,458,364,245,43,259,327,107,247,71,31,105,50,32,220,326,240,234,236,329,553,217,427,325]",78.43038829601,25.5921371752296,81.2108605247478,18.6272672086516,35.4894200440289,2.04761904761905,4.25
848,"[401,407,693,400,104,427,217,554,687,679,62,349,236,350,458,364,259,399,239,50,325,34,402,54,398,253,32,456,326,246,680,220,106,234,685,329,406,221,31,660,459,240,342,107,328]",79.71013600588,24.6210884789543,80.5724633674726,19.2555518312369,35.9516960212629,2.04347826086957,4.2
849,"[401,400,541,679,693,379,407,406,240,253,342,247,692,432,106,427,246,43,255,234,680,328,404,102,685,350,341,50,241,660,460,31,60,217,239,687,555,107,360,425,554,221,553,259,62,329,326,458,325,236,459]",89.41877904909,26.3745178520019,81.8709565168206,17.9623042911532,41.9142589548237,1.92307692307692,4.44444444444444
850,"[400,407,406,217,401,105,104,548,329,341,685,240,239,349,103,225,106,241,347,259,107,456,425,227,50,246,543,253,60,459,460,224,51,693,247,688,402,679,432,680,691,458,221,326,258,236,62,328,687,325,234,427]",93.03198900416,21.2970914459199,82.9055727234334,16.9362911233491,38.6277959419398,2.5,4.40425531914894
851,"[104,541,401,406,693,458,239,240,379,349,236,253,255,554,102,217,460,341,456,364,399,234,400,227,329,50,398,557,107,51,680,432,328,258,221,71,325,259,425,342,687,350,106,459,679,427]",79.68046692273,24.9064782183523,78.2809525018055,21.5534157568621,39.6868344657211,2.15384615384615,4.31707317073171
852,"[541,407,104,693,217,679,401,254,687,62,239,349,106,360,399,660,225,325,326,103,224,400,328,560,245,240,425,54,456,350,220,680,31,43,253,32,460,406,329,107,259,691,379,247,427,685,236,459,234,554,458]",90.64561007729,23.0120707769421,84.4877390122495,15.3485438387677,37.7669393068176,2,4.21739130434783
